"Step","ance_curriculum_step_exclusive_2_full - eval/msmarco_ndcg@10","ance_curriculum_step_exclusive_2_full - eval/msmarco_ndcg@10__MIN","ance_curriculum_step_exclusive_2_full - eval/msmarco_ndcg@10__MAX","ance_curriculum_step_exclusive - eval/msmarco_ndcg@10","ance_curriculum_step_exclusive - eval/msmarco_ndcg@10__MIN","ance_curriculum_step_exclusive - eval/msmarco_ndcg@10__MAX","ance_curriculum_step - eval/msmarco_ndcg@10","ance_curriculum_step - eval/msmarco_ndcg@10__MIN","ance_curriculum_step - eval/msmarco_ndcg@10__MAX","ance_topiocqa_nosched - eval/msmarco_ndcg@10","ance_topiocqa_nosched - eval/msmarco_ndcg@10__MIN","ance_topiocqa_nosched - eval/msmarco_ndcg@10__MAX"
"94","0.32389","0.32389","0.32389","0.32429","0.32429","0.32429","0.32464","0.32464","0.32464","","",""
"95","","","","","","","","","","0.31662","0.31662","0.31662"
"188","0.31718","0.31718","0.31718","0.31711","0.31711","0.31711","0.31684","0.31684","0.31684","","",""
"190","","","","","","","","","","0.31164","0.31164","0.31164"
"282","0.31438","0.31438","0.31438","0.31413","0.31413","0.31413","0.31408","0.31408","0.31408","","",""
"285","","","","","","","","","","0.30964","0.30964","0.30964"
"376","0.31218","0.31218","0.31218","0.31191","0.31191","0.31191","0.31182","0.31182","0.31182","","",""
"380","","","","","","","","","","0.30734","0.30734","0.30734"
"470","0.31039","0.31039","0.31039","0.31081","0.31081","0.31081","0.31055","0.31055","0.31055","","",""
"475","","","","","","","","","","0.30596","0.30596","0.30596"
"564","0.30858","0.30858","0.30858","0.30869","0.30869","0.30869","0.30904","0.30904","0.30904","","",""
"570","","","","","","","","","","0.30585","0.30585","0.30585"
"658","0.30222","0.30222","0.30222","0.30213","0.30213","0.30213","0.30195","0.30195","0.30195","","",""
"665","","","","","","","","","","0.30412","0.30412","0.30412"
"752","0.30047","0.30047","0.30047","0.30008","0.30008","0.30008","0.30139","0.30139","0.30139","","",""
"760","","","","","","","","","","0.30435","0.30435","0.30435"
"846","0.2991","0.2991","0.2991","0.29894","0.29894","0.29894","0.30079","0.30079","0.30079","","",""
"855","","","","","","","","","","0.30332","0.30332","0.30332"
"940","0.29948","0.29948","0.29948","0.29938","0.29938","0.29938","0.30057","0.30057","0.30057","","",""
"950","","","","","","","","","","0.30351","0.30351","0.30351"
"1034","0.29938","0.29938","0.29938","0.29872","0.29872","0.29872","0.30057","0.30057","0.30057","","",""
"1045","","","","","","","","","","0.3031","0.3031","0.3031"
"1128","0.29822","0.29822","0.29822","0.29794","0.29794","0.29794","0.29913","0.29913","0.29913","","",""
"1140","","","","","","","","","","0.30319","0.30319","0.30319"
"1222","0.29782","0.29782","0.29782","0.29817","0.29817","0.29817","0.29974","0.29974","0.29974","","",""
"1235","","","","","","","","","","0.30216","0.30216","0.30216"
"1316","0.29793","0.29793","0.29793","0.29769","0.29769","0.29769","0.29918","0.29918","0.29918","","",""
"1330","","","","","","","","","","0.30242","0.30242","0.30242"
"1410","0.29768","0.29768","0.29768","0.29704","0.29704","0.29704","0.29862","0.29862","0.29862","","",""
"1425","","","","","","","","","","0.30293","0.30293","0.30293"
"1504","0.29697","0.29697","0.29697","0.29713","0.29713","0.29713","0.29812","0.29812","0.29812","","",""
"1520","","","","","","","","","","0.3027","0.3027","0.3027"
"1598","0.29682","0.29682","0.29682","0.29674","0.29674","0.29674","0.29859","0.29859","0.29859","","",""
"1615","","","","","","","","","","0.30254","0.30254","0.30254"
"1692","0.29701","0.29701","0.29701","0.29634","0.29634","0.29634","0.29815","0.29815","0.29815","","",""
"1710","","","","","","","","","","0.30228","0.30228","0.30228"
"1786","0.29651","0.29651","0.29651","0.29679","0.29679","0.29679","0.29874","0.29874","0.29874","","",""
"1805","","","","","","","","","","0.30234","0.30234","0.30234"
"1900","","","","","","","","","","0.30255","0.30255","0.30255"