"Step","ance_curriculum_step_exclusive_2_full - eval/topiocqa_NDCG@10","ance_curriculum_step_exclusive_2_full - eval/topiocqa_NDCG@10__MIN","ance_curriculum_step_exclusive_2_full - eval/topiocqa_NDCG@10__MAX","ance_curriculum_step_exclusive - eval/topiocqa_NDCG@10","ance_curriculum_step_exclusive - eval/topiocqa_NDCG@10__MIN","ance_curriculum_step_exclusive - eval/topiocqa_NDCG@10__MAX","ance_curriculum_step - eval/topiocqa_NDCG@10","ance_curriculum_step - eval/topiocqa_NDCG@10__MIN","ance_curriculum_step - eval/topiocqa_NDCG@10__MAX","ance_topiocqa_nosched - eval/topiocqa_NDCG@10","ance_topiocqa_nosched - eval/topiocqa_NDCG@10__MIN","ance_topiocqa_nosched - eval/topiocqa_NDCG@10__MAX"
"94","0.10785","0.10785","0.10785","0.10795","0.10795","0.10795","0.10722","0.10722","0.10722","","",""
"95","","","","","","","","","","0.13108","0.13108","0.13108"
"188","0.10814","0.10814","0.10814","0.10854","0.10854","0.10854","0.10884","0.10884","0.10884","","",""
"190","","","","","","","","","","0.15776","0.15776","0.15776"
"282","0.10741","0.10741","0.10741","0.10811","0.10811","0.10811","0.10786","0.10786","0.10786","","",""
"285","","","","","","","","","","0.16863","0.16863","0.16863"
"376","0.10748","0.10748","0.10748","0.10808","0.10808","0.10808","0.10745","0.10745","0.10745","","",""
"380","","","","","","","","","","0.18224","0.18224","0.18224"
"470","0.1078","0.1078","0.1078","0.10755","0.10755","0.10755","0.10772","0.10772","0.10772","","",""
"475","","","","","","","","","","0.18574","0.18574","0.18574"
"564","0.10841","0.10841","0.10841","0.10848","0.10848","0.10848","0.10803","0.10803","0.10803","","",""
"570","","","","","","","","","","0.18671","0.18671","0.18671"
"658","0.14839","0.14839","0.14839","0.14744","0.14744","0.14744","0.14578","0.14578","0.14578","","",""
"665","","","","","","","","","","0.18865","0.18865","0.18865"
"752","0.16188","0.16188","0.16188","0.16165","0.16165","0.16165","0.15565","0.15565","0.15565","","",""
"760","","","","","","","","","","0.18638","0.18638","0.18638"
"846","0.16889","0.16889","0.16889","0.16956","0.16956","0.16956","0.16183","0.16183","0.16183","","",""
"855","","","","","","","","","","0.1901","0.1901","0.1901"
"940","0.17341","0.17341","0.17341","0.17197","0.17197","0.17197","0.16823","0.16823","0.16823","","",""
"950","","","","","","","","","","0.18811","0.18811","0.18811"
"1034","0.17701","0.17701","0.17701","0.17587","0.17587","0.17587","0.16986","0.16986","0.16986","","",""
"1045","","","","","","","","","","0.1907","0.1907","0.1907"
"1128","0.18839","0.18839","0.18839","0.18656","0.18656","0.18656","0.18099","0.18099","0.18099","","",""
"1140","","","","","","","","","","0.19186","0.19186","0.19186"
"1222","0.19419","0.19419","0.19419","0.19282","0.19282","0.19282","0.18734","0.18734","0.18734","","",""
"1235","","","","","","","","","","0.1938","0.1938","0.1938"
"1316","0.19668","0.19668","0.19668","0.19625","0.19625","0.19625","0.19004","0.19004","0.19004","","",""
"1330","","","","","","","","","","0.19452","0.19452","0.19452"
"1410","0.19689","0.19689","0.19689","0.19756","0.19756","0.19756","0.19344","0.19344","0.19344","","",""
"1425","","","","","","","","","","0.19515","0.19515","0.19515"
"1504","0.19795","0.19795","0.19795","0.19974","0.19974","0.19974","0.19457","0.19457","0.19457","","",""
"1520","","","","","","","","","","0.19682","0.19682","0.19682"
"1598","0.20042","0.20042","0.20042","0.19762","0.19762","0.19762","0.1947","0.1947","0.1947","","",""
"1615","","","","","","","","","","0.19757","0.19757","0.19757"
"1692","0.19959","0.19959","0.19959","0.19819","0.19819","0.19819","0.19584","0.19584","0.19584","","",""
"1710","","","","","","","","","","0.19772","0.19772","0.19772"
"1786","0.20268","0.20268","0.20268","0.19903","0.19903","0.19903","0.19651","0.19651","0.19651","","",""
"1805","","","","","","","","","","0.19629","0.19629","0.19629"
"1900","","","","","","","","","","0.19739","0.19739","0.19739"